OBJECTID,CSA2010,affordr10,affordr11,affordr12,affordr13,affordr14,affordr15,affordr16,affordr17,affordr18,affordr19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,57.358653431161,53.2718489240228,49.8148909913616,44.0890688259109,51.0082,49.3618618618619,46.9422043010753,45.8967571144937,46.2643678160919,43.29058492,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,49.6369073045707,52.0553872782345,43.2704402515723,42.271714922049,48.3589,45.03367003367,42.6197836166924,42.9154757043691,43.2103610675039,49.54954955,47882527.7110596,37524.9505334171
3,Belair-Edison,60.5593607305936,65.3395784543326,44.5361959812827,41.0582323381614,71.5012,69.8763250883392,68.0391357521402,68.1415929203539,65.09544215037,60.01765225,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,48.6210804684548,51.6152189519024,38.7519260400616,36.1455108359133,53.0124,56.5974343310935,50.6737699780633,51.4935988620199,52.4627720504009,47.69174846,176077742.748718,150987.703638772
5,Canton,40.6559877955759,32.2530864197531,38.2065217391304,32.8698553948832,33.4202,30.2597402597403,28.19324950364,28.2522996057818,24.281805745554,26.85050798,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,60.3490170090568,62.7854903716973,53.8277511961722,48.2578875171468,58.8472,57.6227939613013,53.6228813559322,54.7765118317265,50.6470325747434,48.11299435,71541340.3063965,39962.5498347165
7,Cherry Hill,51.326790258088,47.7412359956632,24.203821656051,36.2989323843416,43.5,48.3290488431877,47.7916194790487,48.9278752436647,46.1780929866036,43.34255235,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,49.079754601227,55.5837563451777,36.7153284671533,34.3060498220641,61.4719,60,50.7723304231028,42.0392156862745,38.8244392884764,40.24096386,21022590.1307373,21705.411630344
9,Claremont/Armistead,50.1251877816725,49.0177287973167,45.9839357429719,34.8511383537653,47.5119,49.8183469573115,52.2717247463608,51.278600269179,50.6567425569176,50.87719298,61243774.4211426,40104.415980189
10,Clifton-Berea,67.6017601760176,59.2494714587738,40.6292749658003,52.5107604017217,55.7405,52.0671060515279,55.6206088992974,58.1761006289308,53.3159947984395,51.55642023,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,39.1271056661562,42.0218785364014,49.0183246073298,53.2091097308489,42.9045,42.7745664739884,42.2053231939164,44.4824636441402,44.7452229299363,42.16666667,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,53.5759897828863,55.3496712492528,45.0867052023121,39.6648044692737,49.653,57.0941336971351,55.0922761449077,52.6280771789753,49.7859327217125,48.75592417,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,62.7586206896552,66.0409556313993,50.2239283429303,50.0291545189504,61.5077,58.7887740029542,51.2119649303765,57.3317307692307,53.9823008849557,51.49299208,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,45.8521870286576,45.5558903284122,62.5,65.7142857142857,49.5809,50.8077288565094,52.841973766396,48.2954545454545,47.6882814771736,49.30051813,20736554.4064941,21565.859394559
15,Edmondson Village,55.4918815663801,52.2052205220522,57.8767123287671,53.5454545454545,61.2489,61.1925708699902,66.5618448637317,64.4514767932489,68.5224839400428,65.774156,23563061.0443115,21504.551357829
16,Fells Point,50.9281294621609,43.32892998679,33.167701863354,31.5147625160462,34.5469,32.3088743757203,33.2908704883227,35.5657237936772,35.4446854663774,34.18947368,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,62.4772313296903,65.3735632183908,43.0474604496253,40.8236347358997,58.2241,53.8784067085954,52.7289985761747,54.2471042471042,59.3028732925106,61.11380145,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,55.1217988757027,51.2828535669587,50.8420573509331,47.2272727272727,46.7638,50.2619324796275,53.0606717226435,54.1485900216919,54.0508920737057,54.83409611,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,47.7872150201162,49.4408602150538,31.7504655493482,37.1818181818182,51.4041,52.0534290271132,54.19831656744,49.7827031725336,47.9299014238773,45.95696489,27051213.4559937,26454.2692113332
20,Greater Govans,61.7283950617284,64.2818428184282,40.1095556908095,41.8798334324807,50.7448,51.8896833503575,48.4962406015038,54.1331802525832,56.2008469449485,62.28936665,22698495.7178955,22982.125714974
21,Greater Mondawmin,46.8797564687976,58.5591539986781,32.3984526112186,31.4741035856574,63.4806,58.8028169014084,57.421875,54.1766109785202,49.0875912408759,49.57264957,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,43.8862559241706,48.7320837927233,29.5282469423413,34.6830985915493,43.5417,36.2579281183932,35.8606557377049,40.4689092762487,35.7954545454545,40.1540154,56688145.1790161,39862.7497953118
23,Greater Rosemont,64.8142058533377,67.7344010677344,48.6721144024515,48.3957219251337,58.8093,57.6506431956669,55.3665326322301,50.7177033492822,47.2355385107063,50.06451613,42204384.5406494,32559.0762211491
24,Greenmount East,60.388945752303,63.7829124126814,42.8785607196402,48.0337078651685,55.3478,56.1473087818697,53.8328530259366,56.8232662192393,60.8603292618162,54.43175639,19072287.8240967,20797.4734578598
25,Hamilton,54.3711656441718,49.7491638795987,40.4569892473118,42.6086956521739,53.7069,53.0098831985624,50.5757307351639,45.6293706293706,43.4567901234567,40.55183946,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,59.8721023181455,60.3328710124827,31.3432835820896,34.4387755102041,44.7923,42.3769507803121,37.202199144777,38.723667905824,41.4028553693358,41.90118824,10215859.0836182,18552.4075815937
27,Harford/Echodale,58.1104400345125,57.3743248857499,36.7092651757189,35.141065830721,46.4599,45.8893871449925,45.1612903225806,44.0840398083302,43.4962406015037,42.41509434,65360039.1698608,40019.1854001996
28,Highlandtown,40.3065825067629,41.2723041117145,36.1777777777778,26.6386554621849,45.0397,52.9566360052562,52.6942355889724,48.0142264374629,45.1516954193932,38.76221498,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,62.3415811707906,67.5392670157068,61.2103746397694,52.4188609920392,63.9634,61.3688212927757,52.6881720430108,50.110701107011,43.8480594549958,59.41320293,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,39.1073326248672,46.7536704730832,27.3323053199692,28.8393903868699,46.201,50.6270049577136,45.5965909090909,42.4131110483187,36.1715160796324,34.22155689,24995836.2615967,43415.0595478862
31,Lauraville,57.0719602977667,58.80195599022,43.2883750802826,40.4233870967742,52.8557,50.1492537313433,45.6542502387775,39.8029556650246,40.1490947816826,37.33905579,49665744.2354736,34419.676527973
32,Loch Raven,48.2513153822346,50.5622052956112,40.4187366926898,40.9256559766764,50.6933,50.0769941484447,47.6711560044893,43.1979551263845,43.7741046831955,46.87836383,44147812.3265381,29314.3346718286
33,Madison/East End,57.9739904175222,58.1612258494337,34.8557692307692,31.5165876777251,64.1227,66.2944870900209,60.0704225352113,58.491895701198,57.1107784431137,56.93848355,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,45.1796919566458,47.1594202898551,30.9685779073534,28.7924655230407,43.3281,44.4331727111337,41.3066385669125,38.8520334583213,41.5964024732996,40.3977118,62441489.2398071,43152.625699222
35,Midtown,46.8858131487889,47.2123000465911,30.2614379084967,28.9650037230082,44.2221,43.4072833821683,43.2273577344376,43.6736958934517,43.6197183098591,42.2718553,23823949.9294434,25020.0969698082
36,Midway/Coldstream,70.0977198697068,74.142940151075,32.1888412017167,35.6060606060606,64.3662,62.2604097818903,60.8728367193379,57.7338129496402,56.0029828486204,59.11680912,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,40.674318507891,44.1704035874439,35.7750163505559,38.7540983606557,46.9986,54.7868623340322,52.4432209222299,52.9455081001472,56.1543579507651,53.9035981,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,47.7085781433608,48.3480176211454,26.0461144321093,26.6666666666667,33.7102,32.7083333333333,35.9375,35.6092436974789,38.7234042553191,45.00537057,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,51.7312448474856,54.0776275621457,34.2680262199563,32.1626617375231,54.3756,53.4995625546807,54.5889101338432,56.0553633217993,52.491366551554,49.15662651,74923987.6937256,42904.2221443544
40,Northwood,55.4461538461538,53.97946084724,37.8057553956835,36.2954630671166,51.0218,52.3166023166023,57.4263379434756,55.5418719211822,55.8043606364172,53.81479324,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,41.8996295048838,44.4900536785602,45.7894736842105,45.2054794520548,44.3162,43.6216372577379,43.3186490455213,42.9380130200962,44.1960447119518,43.77076412,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,49.3141737426519,54.4540229885057,45.9223300970874,50.767754318618,54.9451,52.6252983293556,49.2063492063492,43.994861913937,38.7822634017207,28.80658436,89894372.2113037,47825.8629266244
43,Patterson Park North & East,55.6797020484171,56.8714096332302,35.9289617486339,33.0252100840336,51.3301,48.5364788117082,46.3467358408993,47,49.5946590367191,48.16285998,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,57.2023602915654,56.7368772985623,47.3747016706444,45.9251101321586,52.4746,50.9784735812133,50.3829503829504,53.0386740331491,56.0130010834236,56.75368899,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,55.7259713701431,52.4833589349718,46.7369808833223,50.2227880330999,53.343,53.2012897282358,54.1332073689183,53.0137636449928,45.9701492537313,46.20030196,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,55.594651653765,60.0259571706684,39.0501319261214,41.2790697674419,55.6475,53.4831460674157,54.5404512933407,54.2182890855457,54.4108574953732,51.68471721,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,56.3300565981531,58.274598252044,36.6931918656057,35.6469580119966,52.368,51.3274336283186,53.0747398297067,52.9828109201213,54.2847388187094,54.52709525,23672092.8682861,20987.1433066354
48,South Baltimore,44.5114595898673,38.4615384615385,34.7587049480757,28.3118405627198,35.3974,33.75,30.7277628032345,33.847472150814,28.0615815255423,24.34119279,46353935.4255981,68440.0258266401
49,Southeastern,62.1722846441948,55.7635467980296,43.5265104808878,40.5660377358491,54.2982,55.5765595463138,47.465034965035,53.0405405405405,53.4863195057369,59.5942519,111251478.472229,102291.480547698
50,Southern Park Heights,45.9422750424448,53.3238027162259,44.9586776859504,42.6200873362445,58.2884,60.2673980116558,55.8163265306123,58.4347254192699,58.4869059165858,49.88274707,27876227.5908203,24052.221372193
51,Southwest Baltimore,54.4525929806181,55.9191274275073,33.7089201877934,31.6782522343595,63.1618,60.4511639068875,58.750890524816,60.4274134119381,58.9455272363818,60.98654709,37766068.8365479,28355.563581391
52,The Waverlies,62.551724137931,62.6875407697326,40.2985074626866,36.5304420350292,59.4219,52.4984577421345,51.5303283249861,51.6235553109521,51.144611948632,54.72972973,20383750.5437012,18733.826879757
53,Upton/Druid Heights,57.3012939001848,58.3587468810646,29.6066252587992,31.8658280922432,60.1889,59.4955940443634,58.0042852770125,60.1811276657902,55.1984257133486,58.67740853,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,48.8235294117647,54.4433094994893,42.6453819840365,37.5908618899273,60.6838,67.186067827681,67.2609400324149,63.4166666666666,59.3648208469055,55.00927644,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,52.846975088968,51.2776831345826,43.9820022497188,45.5808080808081,48.9531,51.3215859030837,49.2732558139535,50.3602305475504,51.9713261648745,50.75376884,45494092.9501953,42573.1244161851
